elevation,vegClimZoneLab,ref
0-300,Alpin,0.163416360044076
0-300,Boreonemoral,2.90803951044784
0-300,Mellomboreal,1.15802867416892
0-300,Nemoral,2.19648001129751
0-300,Nordboreal,0.596388336902058
0-300,Sørboreal,1.24139852630059
300-600,Alpin,0.220993644299122
300-600,Boreonemoral,0.859912573635064
300-600,Mellomboreal,1.33087366356007
300-600,Nordboreal,1.32142876831689
300-600,Sørboreal,1.89670096467131
600-900,Alpin,0.657982454869595
600-900,Mellomboreal,1.66373510840571
600-900,Nordboreal,0.524408049612388
600-900,Sørboreal,1.89843982815141
900-1200,Alpin,0.184276577699222
900-1200,Mellomboreal,0.370473433531599
900-1200,Nordboreal,0.262572790335482
>1200,Alpin,0.051910400390625
