Indicator_ID;Name used on GitHub;Norwegian name used in the report;Label name;Synonyms;abb
NO_ENCH_001;Enchroachemnt;Gjengroing;INDICATOR - enchroachment;Vegetation regrowth/encroachment (gjengroing);enc
NO_CLIM;Climate indicators;Klimaindikatorer;INDICATOR - Climate indicators;;cli
NO_CLIM_001;Median summer temperature;Sommertemperatur;INDICATOR - Climate indicators;;mst
NO_ALIE_001;Alien species;Fravær av fremmede arter;INDICATOR - alien species;;ali
NO_ADSV_001;Anthropogenic disturbance to soil and vegetation;Slitasje;INDICATOR - slitasje indicator;Slitasje og kjørespor;adsv
NO_FUNC;Functional plant indicators;Vegtasjonsindikatorer;INDICATOR - Functional plant indicators;;fpi
NO_FUNC_001;Functional plant indicators - Light;Vegtasjon og lys;INDICATOR - Functional plant indicators;;
NO_FUNC_002;Functional plant indicators - Moisture;Vegetasjon og fuktighet;INDICATOR - Functional plant indicators;;
NO_FUNC_003;Functional plant indicators - pH;Vegetasjon og pH;INDICATOR - Functional plant indicators;;
NO_FUNC_004;Functional plant indicators - Nitrogen;Vegetasjon og nitrogen;INDICATOR - Functional plant indicators;;
NO_FUNC_005;Functional plant indicators - Phosphorus;Vegetasjon og fosfor;INDICATOR - Functional plant indicators;;
NO_FUNC_006;Functional plant indicators - Grazing/mowing;Vegetasjon og beiting/slått;INDICATOR - Functional plant indicators;;
NO_FUNC_007;Functional plant indicators - Soil disturbance;Vegetasjon og jordforstyrrelse;INDICATOR - Functional plant indicators;;
NO_FUNC_008;Functional plant indicators - Grimes C;Vegetasjon og strategi mot konkurranse;INDICATOR - Functional plant indicators;;
NO_FUNC_009;Functional plant indicators - Grimes R;Vegetasjon og strategi mot forstyrrelse;INDICATOR - Functional plant indicators;;
NO_FUNC_010;Functional plant indicators - Grimes S;Vegetasjon og strategi mot stress;INDICATOR - Functional plant indicators;;
NO_TLBR;Trophic level biomass ratios;Fordeling av biomasse i trifiske nivåer;INDICATOR - Trophic level biomass ratio indicator;Biomasse i trofiske nivåer (vertebrater/ vegetasjon);tlb
NO_TLBR_001;Deviation from expected vertebrate herbivore biomass;Beitedyr;INDICATOR - Trophic level biomass ratio indicator;;herb
NO_TLBR_002;Deviation from expected carnivore biomass;Rovdyr;INDICATOR - Trophic level biomass ratio indicator;;carn
NO_NDVI_001;NDVI;Primærproduksjon;INDICATOR - NDVI;;ndvi
NO_CONN_001;Connectivity;Konnektivitet;INDICATOR - Connectivity;;con
NO_INSE;Insect indicators;Insektindikatorer;INDICATOR - insects;;ins
NO_NMBB;Bumplebees and butterflies;Humler og dagsommerfugler;INDICATOR - insects;;ins
NO_NMBB_001;Bumblebees in open landscapes;Humler i semi-naturlig mark;INDICATOR - insects;;
NO_NMBB_002;Butterflies in open landscapes;Sommerfulger i semi-naturlig mark;INDICATOR - insects;;
